street_edge_id,region_id
354242,30
354249,30
354258,30
354273,30
354276,30
354287,30
354295,30
354303,30
354306,30
354307,30
354311,30
354318,30
354327,30
354350,30
354359,30
354365,30
354371,30
354380,30
354383,30
354387,30
354389,30
354403,30
354404,30
354406,30
354407,30
354410,30
354418,30
354427,30
354440,30
354441,30
354442,30
354449,30
354458,30
354459,30
354461,30
354489,30
354490,30
354509,30
354510,30
354521,30
354524,30
354555,30
354560,30
354590,30
354591,30
354593,30
354597,30
354620,30
354623,30
354634,30
354645,30
354649,30
354651,30
354657,30
354659,30
354664,30
354665,30
354671,30
354684,30
354702,30
354704,30
354709,30
354712,30
354716,30
354717,30
354724,30
354725,30
354741,30
354747,30
354749,30
354750,30
354751,30
354756,30
354760,30
354762,30
354765,30
354776,30
354780,30
354783,30
354801,30
354807,30
354811,30
354818,30
354825,30
354838,30
354841,30
354852,30
354853,30
354856,30
354864,30
354869,30
354870,30
354871,30
354878,30
354881,30
354891,30
354897,30
354908,30
354917,30
354925,30
354926,30
354929,30
354938,30
354939,30
354945,30
354951,30
354952,30
354955,30
354958,30
354964,30
354970,30
354972,30
354973,30
354977,30
354978,30
354981,30
355000,30
355001,30
355003,30
355010,30
355015,30
355016,30
355017,30
355020,30
355023,30
355024,30
355027,30
355033,30
355035,30
355038,30
355040,30
355044,30
355050,30
355054,30
355056,30
355058,30
355062,30
355068,30
355072,30
355074,30
355077,30
355084,30
355085,30
355092,30
355097,30
355104,30
355111,30
355115,30
355118,30
355120,30
355122,30
355140,30
355145,30
355157,30
355167,30
355170,30
355185,30
355188,30
355191,30
355192,30
355207,30
355213,30
355219,30
355221,30
355226,30
